AA,FF,100-120,bulk_100-120,hexagons,pentagons,tetragons,hexagons_norm,pentagons_norm,tetragons_norm,avg_Hbonds,prob_0Hbonds,prob_less2Hbonds,prob_less3Hbonds,40-50,50-60,60-70,70-80,80-90,90-100,100-110,110-120,120-130,130-140,140-150,150-160,160-170,170-180,45-55,55-65,65-75,75-85,85-95,95-105,105-115,115-125,125-135,135-145,145-155,155-165,165-175,PC1,PC2,PC3,bulk_40-50,bulk_45-55,bulk_50-60,bulk_55-65,bulk_60-70,bulk_65-75,bulk_70-80,bulk_75-85,bulk_80-90,bulk_85-95,bulk_90-100,bulk_95-105,bulk_100-110,bulk_105-115,bulk_110-120,bulk_115-125,bulk_120-130,bulk_125-135,bulk_130-140,bulk_135-145,bulk_140-150,bulk_145-155,bulk_150-160,bulk_155-165,bulk_160-170,bulk_165-175,bulk_170-180,coulomb_pot,lj_pot,total_pot,n_waters
LEU,a03ws,0.244064,0.2367255,0.4411111111111111,0.4888888888888889,0.5094444444444445,0.0220856165336151,0.0244777613974576,0.0255069400016689,2.4672222222222224,0.0033333333333333,0.0944444444444444,0.4888888888888889,0.0024167,0.01388,0.0119286,0.017962,0.023765,0.0267332,0.0264278,0.022385,0.0179335,0.0137444,0.0102975,0.0070874,0.0040741,0.0013649,0.0100577,0.0115861,0.0147562,0.0210101,0.0256894,0.027177,0.0244863,0.0203501,0.0156188,0.0119507,0.0087028,0.0055647,0.0026749,-6.147286691027039,3.295649295604945,0.8089536583218014,0.0027343,0.0105242,0.014485,0.0127886,0.0133904,0.0158395,0.0184177,0.0209559,0.0232853,0.0250806,0.0258812,0.0259577,0.0253747,0.0239203,0.0219704,0.0199247,0.0176405,0.0154183,0.0135657,0.0117954,0.0101948,0.008655,0.0071646999999999,0.0058008999999999,0.0043887,0.0029224,0.0015065,-73.8451324010198,-62.22623819179957,-136.0713705928194,28.52
LEU,a99SBdisp,0.244996,0.234416,0.4458634092171016,0.5452526374236535,0.5036091060521932,0.0221011201937632,0.0270277708969807,0.0249635317755208,2.492504164353137,0.0022209883398112,0.0871737923375902,0.4636313159355913,0.0016191,0.013117,0.0127533,0.01861,0.0238065,0.0265873,0.0263656,0.0226336,0.0177323,0.0141115999999999,0.0102845,0.0070057999999999,0.0039977,0.0013757,0.008571,0.0119665,0.0155054,0.0214286,0.0256368,0.026881,0.0248367,0.0199711,0.015916,0.0120819,0.0086962,0.0054616,0.0026912,-5.18276483149694,2.312758114461126,-0.996410568164707,0.0018614999999999,0.0093677,0.014535,0.0137971,0.0144199999999999,0.016651,0.0190805,0.0213115,0.0233959,0.0245857,0.0252869,0.02558,0.0251108,0.0237865999999999,0.0217724,0.0197613,0.0175426,0.0152404,0.0133961,0.0118277,0.0103702999999999,0.0088792,0.0073871,0.0058798,0.0043775,0.0029373,0.0014636,-79.50661287044176,-65.39039436955424,-144.897007239996,28.38
LEU,C36m,0.200365,0.200062,0.2155568886222755,0.2901419716056788,0.3515296940611878,0.0116877907039779,0.0157318963928312,0.0190604230589919,2.6222755448910218,0.0053989202159568,0.0707858428314337,0.4003199360127974,0.0029603,0.0191531,0.0179961,0.0200313999999999,0.0213921,0.0220461,0.0210932,0.0189797999999999,0.0166158,0.0141749,0.0112640999999999,0.0079515,0.0047659,0.0015756,0.0124622,0.0183405,0.0190564999999999,0.0208889,0.0217632,0.021772,0.0201247,0.0178008,0.0154603,0.0127309,0.0096965,0.0063114,0.0031589,13.2407650663525,-8.267876408280861,4.397199547795161,0.0029515,0.0123992,0.0190761,0.0185166,0.0181973,0.0191407,0.0200564999999999,0.0207933,0.0213812,0.0216317,0.0216903,0.0215216,0.0209759,0.0200738,0.0190364999999999,0.0179993,0.016765,0.0152982999999999,0.0139194,0.0125723,0.0110926,0.0096379,0.0082022,0.0066451,0.0050355,0.0033277,0.0016199,-65.50071285664802,-50.59568248060054,-116.09639533724857,26.87
PHE,a03ws,0.2436505,0.2367255,0.5322222222222223,0.6144444444444445,0.6033333333333334,0.0226327726327726,0.0261292761292761,0.0256567756567756,1.9916666666666667,0.0216666666666666,0.2683333333333333,0.7288888888888889,0.0025361,0.0138759,0.0122870999999999,0.0177064,0.0236735,0.026822,0.0261484999999999,0.0225816,0.0178648,0.0136885,0.0102806,0.0070523,0.0041207,0.0013621,0.0101095,0.0118959,0.0147713,0.0208979,0.0256214,0.0268841999999999,0.024752,0.0202147,0.0155947,0.0120211,0.0085764,0.0055844,0.0027216999999999,-5.872025967314818,2.8830575927476856,0.8147874878329957,0.0027343,0.0105242,0.014485,0.0127886,0.0133904,0.0158395,0.0184177,0.0209559,0.0232853,0.0250806,0.0258812,0.0259577,0.0253747,0.0239203,0.0219704,0.0199247,0.0176405,0.0154183,0.0135657,0.0117954,0.0101948,0.008655,0.0071646999999999,0.0058008999999999,0.0043887,0.0029224,0.0015065,-60.74021914611804,-81.9233052169539,-142.66352436307196,31.7
PHE,a99SBdisp,0.2439695,0.234416,0.5513603553581343,0.5863409217101611,0.606329816768462,0.0231560291957185,0.0246251428304922,0.0254646363360772,2.2165463631315934,0.0088839533592448,0.1643531371460299,0.6229872293170461,0.0016071,0.0133592,0.0127359,0.0186035999999999,0.0237439,0.026653,0.0260951,0.0226987999999999,0.0180593,0.0139099999999999,0.0102187,0.0069592,0.003997,0.0013591,0.0087245,0.0120483,0.0154779,0.0212969,0.0255818,0.0269611,0.0246074999999999,0.0203803,0.0159549,0.0119727,0.008542,0.0053853,0.0027093,-5.192760312272668,2.1852854726410094,-0.8762640044812158,0.0018614999999999,0.0093677,0.014535,0.0137971,0.0144199999999999,0.016651,0.0190805,0.0213115,0.0233959,0.0245857,0.0252869,0.02558,0.0251108,0.0237865999999999,0.0217724,0.0197613,0.0175426,0.0152404,0.0133961,0.0118277,0.0103702999999999,0.0088792,0.0073871,0.0058798,0.0043775,0.0029373,0.0014636,-82.61583960087737,-81.07802464928268,-163.69386425016003,31.76
PHE,C36m,0.199401,0.200062,0.3175364927014597,0.3643271345730854,0.400119976004799,0.0146414774246489,0.0167989747277773,0.018449367963931,2.492901419716057,0.0067986402719456,0.0941811637672465,0.4705058988202359,0.0029406999999999,0.0192747,0.0181087,0.0201297,0.0214776,0.0218923,0.0208898,0.0189903999999999,0.0166282,0.0141307,0.0111828,0.0079983,0.0047726999999999,0.0015833,0.0124738,0.0185757,0.0190749,0.0209056,0.0218201,0.021544,0.020057,0.0178101999999999,0.0154379,0.0126912,0.0096105,0.0063885,0.0031798,13.720087724396436,-8.451138965108592,4.407578555878433,0.0029515,0.0123992,0.0190761,0.0185166,0.0181973,0.0191407,0.0200564999999999,0.0207933,0.0213812,0.0216317,0.0216903,0.0215216,0.0209759,0.0200738,0.0190364999999999,0.0179993,0.016765,0.0152982999999999,0.0139194,0.0125723,0.0110926,0.0096379,0.0082022,0.0066451,0.0050355,0.0033277,0.0016199,-69.26181411255966,-66.52979097825994,-135.7916050908196,30.19
ILE,a03ws,0.2427555,0.2367255,0.3772222222222222,0.4994444444444444,0.5383333333333333,0.0192378523870236,0.0254710298909193,0.0274543136421589,2.867777777777778,0.0,0.0194444444444444,0.2383333333333333,0.0024965,0.0138747,0.0121511,0.0179059,0.0237731,0.0268264,0.0261405,0.0224106,0.0178876,0.0137748,0.0101785,0.0071552,0.0040428,0.0013821,0.0100961,0.0118285,0.0147096,0.0211037,0.0256931,0.0269388,0.024543,0.0201024,0.0157239,0.0120066,0.0086161,0.0055279,0.0027292,-5.735754268772654,3.105212768143033,0.8144092911479127,0.0027343,0.0105242,0.014485,0.0127886,0.0133904,0.0158395,0.0184177,0.0209559,0.0232853,0.0250806,0.0258812,0.0259577,0.0253747,0.0239203,0.0219704,0.0199247,0.0176405,0.0154183,0.0135657,0.0117954,0.0101948,0.008655,0.0071646999999999,0.0058008999999999,0.0043887,0.0029224,0.0015065,-97.49509707987774,-59.17130789942963,-156.6664049793074,28.05
ILE,a99SBdisp,0.244314,0.234416,0.4330927262631871,0.5358134369794558,0.5441421432537479,0.0216480253115372,0.0267824928533762,0.0271988010324442,2.5197112715158245,0.0011104941699056,0.0838423098278734,0.4408661854525263,0.0016472,0.0131533,0.012638,0.0184785,0.0237889,0.0270672,0.0263525,0.0225103,0.0179399,0.0137553,0.0102387,0.0070224,0.0041044,0.0013032999999999,0.0086098,0.0118098,0.0156131999999999,0.0212853,0.0257759,0.0272032,0.0247863,0.0200778,0.0157951,0.0119148999999999,0.0086203,0.005488,0.0027045,-5.435724201414076,2.9443546617797867,-1.050250142496198,0.0018614999999999,0.0093677,0.014535,0.0137971,0.0144199999999999,0.016651,0.0190805,0.0213115,0.0233959,0.0245857,0.0252869,0.02558,0.0251108,0.0237865999999999,0.0217724,0.0197613,0.0175426,0.0152404,0.0133961,0.0118277,0.0103702999999999,0.0088792,0.0073871,0.0058798,0.0043775,0.0029373,0.0014636,-74.26882736435626,-65.2672862379498,-139.53611360230607,27.82
ILE,C36m,0.2000565,0.200062,0.2117576484703059,0.2983403319336132,0.3579284143171365,0.0117784451117784,0.0165943721499277,0.0199087976865754,2.5166966606678662,0.0033993201359728,0.0897820435912817,0.4511097780443911,0.0029525999999999,0.0191187,0.0180347,0.0199676999999999,0.0215904,0.0219415,0.0210966,0.0189147,0.0166391,0.0140914,0.0112008,0.008038,0.0048479,0.001566,0.0124799,0.0184492,0.0188932,0.0208662999999999,0.0219654,0.0216536,0.0201671,0.0177015,0.0154395,0.012685,0.0096266999999999,0.006468,0.0031726,13.3418335307199,-8.131398690888563,4.451010379447322,0.0029515,0.0123992,0.0190761,0.0185166,0.0181973,0.0191407,0.0200564999999999,0.0207933,0.0213812,0.0216317,0.0216903,0.0215216,0.0209759,0.0200738,0.0190364999999999,0.0179993,0.016765,0.0152982999999999,0.0139194,0.0125723,0.0110926,0.0096379,0.0082022,0.0066451,0.0050355,0.0033277,0.0016199,-60.85518609393272,-51.44898071955276,-112.30416681348548,26.76
VAL,a03ws,0.2428675,0.2367255,0.3422222222222222,0.4433333333333333,0.4711111111111111,0.018938695197688,0.024534218778823,0.0260714505318821,1.885555555555556,0.0061111111111111,0.255,0.8555555555555555,0.0024684,0.0140934999999999,0.0122213,0.0180815,0.0237386,0.0265217999999999,0.0261358,0.0224376999999999,0.0178715,0.0137245,0.0102141,0.0070099,0.0041306,0.0013505,0.0102187,0.0119065,0.01492,0.0210965,0.0254853,0.0269304,0.024486,0.0201662,0.0157302,0.0118576,0.0086008,0.0054826,0.002739,-5.358910819132957,2.943793977973288,0.91813299385311,0.0027343,0.0105242,0.014485,0.0127886,0.0133904,0.0158395,0.0184177,0.0209559,0.0232853,0.0250806,0.0258812,0.0259577,0.0253747,0.0239203,0.0219704,0.0199247,0.0176405,0.0154183,0.0135657,0.0117954,0.0101948,0.008655,0.0071646999999999,0.0058008999999999,0.0043887,0.0029224,0.0015065,-62.76066534859361,-56.45055424262394,-119.21121959121754,25.72
